"Sandy loam"||"143073466"|"145509269"
"Sandy clay loam"||"143073467"|"145508688"
"Loamy sand"||"143073468"|"145508837"
"Sandy loam"||"143073469"|"145508689"
"Loam"||"143073470"|"145508838"
"Sandy clay loam"||"143073464"|"145509267"
"Clay loam"||"143073465"|"145509268"
"Fine sandy loam"||"143073461"|"145508836"
"Sandy loam"||"143073462"|"145509265"
"Loam"||"143073463"|"145509266"
"Loamy sand"||"143073254"|"145508692"
"Sandy loam"||"143073255"|"145508840"
"Loam"||"143073256"|"145508693"
"Sandy loam"||"143073252"|"145508966"
"Sandy clay loam"||"143073253"|"145508967"
"Sandy clay loam"||"143073250"|"145508964"
"Clay loam"||"143073251"|"145508965"
"Fine sandy loam"||"143073247"|"145508690"
"Sandy loam"||"143073248"|"145508839"
"Loam"||"143073249"|"145508691"
"Sandy clay loam"||"143073475"|"145508711"
"Clay loam"||"143073476"|"145508857"
"Clay loam"||"143073473"|"145509282"
"Clay"||"143073474"|"145509283"
"Loam"||"143073471"|"145509280"
"Fine sandy loam"||"143073472"|"145509281"
"Fine sandy loam"||"143073477"|"145508712"
"Loam"||"143073478"|"145508858"
"Fine sandy loam"||"143073485"|"145508713"
"Loam"||"143073486"|"145508861"
"Loam"||"143073479"|"145508859"
"Fine sandy loam"||"143073480"|"145509284"
"Clay loam"||"143073481"|"145509285"
"Clay"||"143073482"|"145509286"
"Sandy clay loam"||"143073483"|"145509287"
"Clay loam"||"143073484"|"145508860"
"Clay loam"||"143073489"|"145509288"
"Clay"||"143073490"|"145509289"
"Fine sandy loam"||"143073493"|"145508715"
"Loam"||"143073494"|"145508863"
"Sandy clay loam"||"143073491"|"145509290"
"Clay loam"||"143073492"|"145509291"
"Loam"||"143073487"|"145508862"
"Fine sandy loam"||"143073488"|"145508714"
"Sandy clay"||"143073650"|"145509202"
"Clay"||"143073651"|"145509203"
"Clay loam"||"143073652"|"145508777"
"Fine sandy loam"||"143073646"|"145508914"
"Loam"||"143073647"|"145508632"
"Sandy loam"||"143073648"|"145508776"
"Silt loam"||"143073649"|"145508633"
"Fine sandy loam"||"143073653"|"145508630"
"Loam"||"143073654"|"145508775"
"Sandy clay loam"||"143073657"|"145508912"
"Loam"||"143073658"|"145508913"
"Clay loam"||"143073655"|"145508631"
"Sandy clay loam"||"143073656"|"145508911"
"Loam"||"143073790"|"145509342"
"Fine sandy loam"||"143073791"|"145509066"
"Sandy loam"||"143073792"|"145509113"
"Sandy loam"||"143073793"|"145509067"
|"Bedrock"|"143073798"|"145509151"
"Sandy loam"||"143073794"|"145509114"
"Loam"||"143073795"|"145509148"
"Sandy loam"||"143073796"|"145509149"
"Fine sandy loam"||"143073797"|"145509150"
"Sandy loam"||"143073501"|"145508871"
"Sandy clay loam"||"143073502"|"145508727"
"Sandy clay loam"||"143073503"|"145508872"
"Sandy clay loam"||"143073504"|"145509298"
"Sandy loam"||"143073505"|"145509299"
"Sandy loam"||"143073506"|"145509300"
"Clay loam"||"143073498"|"145508995"
"Sandy clay loam"||"143073499"|"145508996"
"Sandy clay loam"||"143073500"|"145508726"
"Loam"||"143073495"|"145508725"
"Fine sandy loam"||"143073496"|"145508993"
"Fine sandy loam"||"143073497"|"145508994"
"Loam"||"143073421"|"145509158"
"Fine sandy loam"||"143073422"|"145509123"
"Fine sandy loam"||"143073423"|"145509075"
"Clay loam"||"143073424"|"145509124"
"Clay"||"143073425"|"145509076"
