"CH"|No |"70808539"|"131580905"
"CL"|Yes|"70808539"|"131580906"
"CL"|No |"70808538"|"131580903"
"SC"|Yes|"70808538"|"131580904"
"CL"|No |"70808570"|"131581002"
"SC-SM"|Yes|"70808570"|"131581003"
"CL"|Yes|"70808571"|"131581004"
"SC"|No |"70808571"|"131581005"
"SC-SM"|Yes|"70808573"|"131581007"
"SC"|Yes|"70808572"|"131581006"
"CL-ML"|No |"70808632"|"131581125"
"SC"|Yes|"70808632"|"131581126"
"CL"|No |"70808632"|"131581127"
"CL"|No |"70808566"|"131580989"
"ML"|Yes|"70808566"|"131580990"
"SC"|No |"70808566"|"131580991"
"SM"|No |"70808566"|"131580992"
"CL"|Yes|"70808568"|"131580997"
"CL"|No |"70808569"|"131580998"
"ML"|Yes|"70808569"|"131580999"
"SC"|No |"70808569"|"131581000"
"SM"|No |"70808569"|"131581001"
"CH"|No |"70808567"|"131580993"
"CL"|No |"70808567"|"131580994"
"MH"|No |"70808567"|"131580995"
"ML"|Yes|"70808567"|"131580996"
"CL"|Yes|"70808564"|"131580984"
"CH"|No |"70808563"|"131580980"
"CL"|No |"70808563"|"131580981"
"MH"|No |"70808563"|"131580982"
"ML"|Yes|"70808563"|"131580983"
"CL"|No |"70808562"|"131580976"
"ML"|Yes|"70808562"|"131580977"
"SC"|No |"70808562"|"131580978"
"SM"|No |"70808562"|"131580979"
"CL"|No |"70808565"|"131580985"
"ML"|Yes|"70808565"|"131580986"
"SC"|No |"70808565"|"131580987"
"SM"|No |"70808565"|"131580988"
"CL"|No |"70808561"|"131580972"
"ML"|Yes|"70808561"|"131580973"
"SC"|No |"70808561"|"131580974"
"SM"|No |"70808561"|"131580975"
"CL"|No |"70808558"|"131580963"
"ML"|Yes|"70808558"|"131580964"
"SC"|No |"70808558"|"131580965"
"SM"|No |"70808558"|"131580966"
"CH"|No |"70808559"|"131580967"
"CL"|No |"70808559"|"131580968"
"MH"|No |"70808559"|"131580969"
"ML"|Yes|"70808559"|"131580970"
"CL"|Yes|"70808560"|"131580971"
"CL-ML"|No |"70808468"|"131580731"
"ML"|Yes|"70808468"|"131580732"
"SC-SM"|No |"70808468"|"131580733"
"SM"|No |"70808468"|"131580734"
"CL"|Yes|"70808469"|"131580735"
"SC"|No |"70808469"|"131580736"
"CL"|No |"70808470"|"131580737"
"SC"|Yes|"70808470"|"131580738"
"CL-ML"|No |"70808471"|"131580739"
"ML"|No |"70808471"|"131580740"
"SC"|Yes|"70808471"|"131580741"
"SC-SM"|No |"70808471"|"131580742"
"SM"|No |"70808471"|"131580743"
"CL-ML"|No |"70808554"|"131580950"
"ML"|Yes|"70808554"|"131580951"
"SC-SM"|No |"70808554"|"131580952"
"SM"|No |"70808554"|"131580953"
"CL"|Yes|"70808555"|"131580954"
"SC"|No |"70808555"|"131580955"
"CL-ML"|No |"70808557"|"131580958"
"ML"|No |"70808557"|"131580959"
"SC"|Yes|"70808557"|"131580960"
"SC-SM"|No |"70808557"|"131580961"
"SM"|No |"70808557"|"131580962"
"CL"|No |"70808556"|"131580956"
"SC"|Yes|"70808556"|"131580957"
"SC"|Yes|"70808689"|"131581241"
"SC-SM"|No |"70808689"|"131581242"
"SC"|Yes|"70808688"|"131581238"
"SC-SM"|No |"70808688"|"131581239"
"SM"|No |"70808688"|"131581240"
"CL"|Yes|"70808635"|"131581134"
"SC"|No |"70808635"|"131581135"
"SC"|Yes|"70808636"|"131581136"
"SC-SM"|No |"70808636"|"131581137"
"CL-ML"|No |"70808634"|"131581131"
"SC-SM"|No |"70808634"|"131581132"
"SC"|Yes|"70808634"|"131581133"
"CH"|No |"70808633"|"131581128"
"CL"|Yes|"70808633"|"131581129"
"SC"|No |"70808633"|"131581130"
