"time","Q_m3pd"
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,3400.39250958066
2020-10-12,2380.27475670646
2020-10-13,1666.19232969452
2020-10-14,1166.33463078617
2020-10-15,816.434241550316
2020-10-16,571.503969085221
2020-10-17,400.052778359655
2020-10-18,280.036944851758
2020-10-19,196.025861396231
2020-10-20,137.218102977362
2020-10-21,96.0526720841531
2020-10-22,67.2368704589072
2020-10-23,47.065809321235
2020-10-24,32.9460665248645
2020-10-25,2113.51645837168
2020-10-26,1479.46152086017
2020-10-27,1035.62306460212
2020-10-28,724.936145221486
2020-10-29,6828.71224653986
2020-10-30,4780.0985725779
2020-10-31,3346.06900080453
2020-11-01,2342.24830056317
2020-11-02,1639.57381039422
2020-11-03,1147.70166727595
2020-11-04,803.391167093168
2020-11-05,562.373816965218
2020-11-06,393.661671875652
2020-11-07,275.563170312957
2020-11-08,192.89421921907
2020-11-09,135.025953453349
2020-11-10,94.5181674173441
2020-11-11,4371.2270845327
2020-11-12,3432.59863707016
2020-11-13,2402.81904594911
2020-11-14,1681.97333216438
2020-11-15,1177.38133251506
2020-11-16,824.166932760545
2020-11-17,576.916852932381
2020-11-18,403.841797052667
2020-11-19,282.689257936867
2020-11-20,197.882480555807
2020-11-21,138.517736389065
2020-11-22,96.9624154723453
2020-11-23,67.8736908306417
2020-11-24,47.5115835814492
2020-11-25,33.2581085070144
2020-11-26,23.2806759549101
2020-11-27,16.2964731684371
2020-11-28,11.407531217906
2020-11-29,7.98527185253417
2020-11-30,4025.90803644343
2020-12-01,2818.1356255104
2020-12-02,1972.69493785728
2020-12-03,1380.8864565001
2020-12-04,966.620519550067
2020-12-05,1206.44756847513
2020-12-06,844.513297932593
2020-12-07,591.159308552815
2020-12-08,413.81151598697
2020-12-09,289.668061190879
2020-12-10,202.767642833615
2020-12-11,141.937349983531
2020-12-12,99.3561449884716
2020-12-13,69.5493014919301
2020-12-14,2998.93995101495
2020-12-15,2099.25796571046
2020-12-16,1469.48057599733
2020-12-17,1028.63640319813
2020-12-18,720.045482238689
2020-12-19,504.031837567083
2020-12-20,352.822286296958
2020-12-21,246.975600407871
2020-12-22,172.882920285509
2020-12-23,121.018044199857
2020-12-24,253.992370425964
2020-12-25,303.51928136821
2020-12-26,212.463496957747
2020-12-27,148.724447870423
2020-12-28,104.107113509296
2020-12-29,72.8749794565073
2020-12-30,51.0124856195551
2020-12-31,35.7087399336886
2021-01-01,2105.0721091017
2021-01-02,1473.55047637119
2021-01-03,1031.48533345983
2021-01-04,722.039733421884
2021-01-05,505.427813395319
2021-01-06,353.799469376723
2021-01-07,247.659628563706
2021-01-08,173.361739994594
2021-01-09,121.353217996216
2021-01-10,84.9472525973512
2021-01-11,59.4630768181459
2021-01-12,41.6241537727021
2021-01-13,29.1369076408915
2021-01-14,20.395835348624
2021-01-15,14.2770847440368
2021-01-16,9.99395932082577
2021-01-17,6.99577152457804
2021-01-18,4.89704006720463
2021-01-19,3.42792804704324
2021-01-20,2.39954963293027
2021-01-21,1.67968474305119
2021-01-22,1.17577932013583
2021-01-23,0.823045524095082
2021-01-24,0.576131866866557
2021-01-25,2135.41537862681
2021-01-26,2155.51230262838
2021-01-27,1508.85861183987
2021-01-28,1056.20102828791
2021-01-29,739.340719801534
2021-01-30,517.538503861074
2021-01-31,1730.81196170623
2021-02-01,1211.56837319436
2021-02-02,848.09786123605
2021-02-03,593.668502865235
2021-02-04,415.567952005665
2021-02-05,290.897566403965
2021-02-06,203.628296482776
2021-02-07,142.539807537943
2021-02-08,99.7778652765601
2021-02-09,69.8445056935921
2021-02-10,48.8911539855144
2021-02-11,34.2238077898601
2021-02-12,23.9566654529021
2021-02-13,481.565315440389
2021-02-14,337.095720808273
2021-02-15,235.967004565791
2021-02-16,165.176903196054
2021-02-17,115.623832237238
2021-02-18,1890.41898708915
2021-02-19,1323.2932909624
2021-02-20,926.305303673683
2021-02-21,648.413712571578
2021-02-22,453.889598800105
2021-02-23,317.722719160073
2021-02-24,222.405903412051
2021-02-25,155.684132388436
2021-02-26,108.978892671905
2021-02-27,76.2852248703336
2021-02-28,53.3996574092335
2021-03-01,1030.64059446375
2021-03-02,721.448416124623
2021-03-03,505.013891287236
2021-03-04,353.509723901066
2021-03-05,247.456806730746
2021-03-06,173.219764711522
2021-03-07,121.253835298065
2021-03-08,84.8776847086458
2021-03-09,59.4143792960521
2021-03-10,41.5900655072364
2021-03-11,29.1130458550655
2021-03-12,20.3791320985459
2021-03-13,14.2653924689821
2021-03-14,9.98577472828747
2021-03-15,6.99004230980123
2021-03-16,4.89302961686086
2021-03-17,3.4251207318026
2021-03-18,1693.33889288133
2021-03-19,1185.33722501693
2021-03-20,829.73605751185
2021-03-21,580.815240258295
2021-03-22,406.570668180807
2021-03-23,284.599467726565
2021-03-24,199.219627408595
2021-03-25,139.453739186017
2021-03-26,97.6176174302117
2021-03-27,68.3323322011482
2021-03-28,47.8326325408037
2021-03-29,33.4828427785626
2021-03-30,23.4379899449938
2021-03-31,1296.78736417591
2021-04-01,907.751154923138
2021-04-02,635.425808446196
2021-04-03,444.798065912338
2021-04-04,311.358646138636
2021-04-05,217.951052297045
2021-04-06,152.565736607932
2021-04-07,106.796015625552
2021-04-08,74.7572109378866
2021-04-09,52.3300476565206
2021-04-10,36.6310333595644
2021-04-11,1765.35803293488
2021-04-12,1235.75062305441
2021-04-13,865.025436138089
2021-04-14,605.517805296662
2021-04-15,423.862463707664
2021-04-16,296.703724595364
2021-04-17,207.692607216755
2021-04-18,145.384825051729
2021-04-19,101.76937753621
2021-04-20,71.238564275347
2021-04-21,49.8669949927429
2021-04-22,34.90689649492
2021-04-23,24.434827546444
2021-04-24,17.1043792825108
2021-04-25,11.9730654977576
2021-04-26,8.3811458484303
2021-04-27,5.86680209390121
2021-04-28,4.10676146573085
2021-04-29,2.87473302601159
2021-04-30,2.01231311820812
2021-05-01,1.40861918274568
2021-05-02,0.986033427921977
2021-05-03,909.46999273837
2021-05-04,636.628994916859
2021-05-05,445.640296441801
2021-05-06,311.948207509261
2021-05-07,218.363745256483
2021-05-08,152.854621679538
2021-05-09,106.998235175676
2021-05-10,74.8987646229736
2021-05-11,52.4291352360815
2021-05-12,36.7003946652571
2021-05-13,25.6902762656799
2021-05-14,17.983193385976
2021-05-15,12.5882353701832
2021-05-16,8.81176475912822
2021-05-17,278.022844594514
2021-05-18,194.615991216159
2021-05-19,136.231193851312
2021-05-20,95.3618356959181
2021-05-21,66.7532849871427
2021-05-22,46.7272994909999
2021-05-23,32.7091096436999
2021-05-24,480.029309715707
2021-05-25,336.020516800995
2021-05-26,235.214361760696
2021-05-27,164.650053232487
2021-05-28,537.771503338523
2021-05-29,376.440052336966
2021-05-30,263.508036635876
2021-05-31,184.455625645113
2021-06-01,129.118937951579
2021-06-02,90.3832565661055
2021-06-03,63.2682795962739
2021-06-04,44.2877957173917
2021-06-05,31.0014570021742
2021-06-06,21.7010199015219
2021-06-07,15.1907139310654
2021-06-08,10.6334997517458
2021-06-09,7.44344982622203
2021-06-10,975.782167401489
2021-06-11,683.047517181043
2021-06-12,478.13326202673
2021-06-13,334.693283418711
2021-06-14,234.285298393098
2021-06-15,163.999708875168
2021-06-16,114.799796212618
2021-06-17,80.3598573488325
2021-06-18,56.2519001441827
2021-06-19,39.3763301009279
2021-06-20,27.5634310706495
2021-06-21,19.2944017494547
2021-06-22,155.154291792227
2021-06-23,108.608004254559
2021-06-24,76.0256029781911
2021-06-25,53.2179220847338
2021-06-26,37.2525454593137
2021-06-27,26.0767818215196
2021-06-28,18.2537472750637
2021-06-29,12.7776230925446
2021-06-30,8.94433616478121
2021-07-01,6.26103531534685
2021-07-02,1181.29936245983
2021-07-03,826.909553721879
2021-07-04,578.836687605316
